host,port
10.11.1.251,80
10.11.1.10,80
10.1.1.246,80
10.1.1.236,80
10.11.1.24,80
10.11.1.5,80
10.11.1.230,80
10.11.1.7,80
10.11.1.39,80
10.11.1.8,80
10.11.1.50,80
10.11.1.115,80
10.11.1.116,80
10.11.1.72,80
10.11.1.75,80
10.11.1.35,80
10.11.1.252,80
10.11.1.44,80
10.11.1.31,80
10.11.1.247,80
10.11.1.14,80
10.11.1.226,80
10.11.1.221,80
10.11.1.73,80
10.11.1.220,80
10.11.1.209,80
10.11.1.125,80
10.11.1.22,80
10.11.1.217,80
10.11.1.202,80
10.11.1.219,80
10.11.1.218,80
10.11.1.71,80
10.11.1.146,80
10.11.1.229,80
10.11.1.133,80
10.11.1.49,80
10.11.1.13,80
10.11.1.145,80
10.11.1.223,80
10.11.1.141,80
10.11.1.227,80
10.11.1.238,80
10.11.1.237,80
10.11.1.234,80
10.1.1.1,80
10.11.1.136,80
10.11.1.128,80
10.11.1.202,443
10.11.1.8,443
10.11.1.128,443
10.11.1.115,443
10.11.1.35,443
10.11.1.22,443
10.11.1.227,443
10.11.1.217,443
10.11.1.223,443
10.11.1.237,443
10.11.1.238,443
10.11.1.5,443
10.11.1.7,443
10.11.1.10,443
10.11.1.13,443
10.11.1.14,443
10.11.1.133,443
10.11.1.24,443
10.11.1.31,443
10.11.1.39,443
10.11.1.44,443
10.11.1.49,443
10.11.1.50,443
10.11.1.71,443
10.11.1.72,443
10.11.1.73,443
10.11.1.116,443
10.11.1.125,443
10.11.1.136,443
10.11.1.141,443
10.11.1.145,443
10.11.1.146,443
10.11.1.209,443
10.11.1.218,443
10.11.1.219,443
10.11.1.220,443
10.11.1.221,443
10.11.1.226,443
10.11.1.230,443
10.11.1.234,443
10.11.1.247,443
10.11.1.251,443
10.11.1.252,443
10.11.1.229,443
10.11.1.75,443
10.11.1.71,591
10.11.1.220,593
10.11.1.75,2869
10.11.1.73,2869
10.11.1.202,3339
10.11.1.221,5357
10.11.1.73,5357
10.11.1.75,5357
10.11.1.227,5800
10.11.1.73,5800
10.11.1.128,5800
10.11.1.227,6532
10.11.1.202,7778
10.11.1.252,8000
10.11.1.44,8000
10.11.1.73,8014
10.11.1.39,8080
10.11.1.44,8080
10.11.1.50,8080
10.11.1.128,8080
10.11.1.71,8080
10.11.1.49,8080
10.11.1.72,8080
10.11.1.115,8080
10.11.1.116,8080
10.11.1.125,8080
10.11.1.217,8080
10.11.1.136,8080
10.11.1.141,8080
10.11.1.218,8080
10.11.1.221,8080
10.11.1.226,8080
10.11.1.234,8080
10.11.1.237,8080
10.11.1.227,8080
10.11.1.229,8080
10.11.1.238,8080
10.11.1.247,8080
10.11.1.251,8080
10.11.1.252,8080
10.11.1.24,8080
10.11.1.223,8080
10.11.1.219,8080
10.11.1.133,8080
10.11.1.145,8080
10.11.1.230,8080
10.11.1.75,8080
10.11.1.5,8080
10.11.1.7,8080
10.11.1.8,8080
10.11.1.22,8080
10.11.1.10,8080
10.11.1.13,8080
10.11.1.14,8080
10.11.1.31,8080
10.11.1.35,8080
10.11.1.209,8080
10.11.1.73,8080
10.11.1.220,8080
10.11.1.202,8080
10.11.1.146,8080
10.11.1.252,8888
10.11.1.50,9505
10.11.1.49,9505
10.11.1.141,10000
10.11.1.75,10243
10.11.1.73,10243
10.11.1.234,10443
10.11.1.220,47001
10.11.1.220,49157
