host,port,proto,name,state,info
"10.11.1.251","80","tcp","http","open","Apache httpd 2.2.11 (Ubuntu) PHP/5.2.6-3ubuntu4.4 with Suhosin-Patch"
"10.11.1.10","80","tcp","http","open","Microsoft IIS httpd 6.0"
"10.1.1.246","80","tcp","http","open",""
"10.1.1.236","80","tcp","http","open","Apache/2.2.11 (Fedora)"
"10.11.1.24","80","tcp","http","open","Apache httpd 2.2.4 (Ubuntu) PHP/5.2.3-1ubuntu6"
"10.11.1.5","80","tcp","http","closed",""
"10.11.1.230","80","tcp","http","open","GoAhead WebServer"
"10.11.1.7","80","tcp","http","filtered",""
"10.11.1.39","80","tcp","http","open","nginx 1.6.3"
"10.11.1.8","80","tcp","http","open","Apache httpd 2.0.52 (CentOS)"
"10.11.1.50","80","tcp","http","open","Microsoft IIS httpd 8.5"
"10.11.1.115","80","tcp","http","open","Apache httpd 2.0.40 (Red Hat Linux)"
"10.11.1.116","80","tcp","http","open","Apache httpd 2.4.6 (FreeBSD) PHP/5.4.23"
"10.11.1.72","80","tcp","http","open","Apache httpd 2.2.20 (Ubuntu)"
"10.11.1.75","80","tcp","http","filtered",""
"10.11.1.35","80","tcp","http","filtered",""
"10.11.1.252","80","tcp","http","filtered",""
"10.11.1.44","80","tcp","http","closed",""
"10.11.1.31","80","tcp","http","open","Microsoft IIS httpd 6.0"
"10.11.1.247","80","tcp","http","filtered",""
"10.11.1.14","80","tcp","http","open","Microsoft IIS httpd 5.1"
"10.11.1.226","80","tcp","http","filtered",""
"10.11.1.221","80","tcp","http","filtered",""
"10.11.1.73","80","tcp","http","filtered",""
"10.11.1.220","80","tcp","http","closed",""
"10.11.1.209","80","tcp","http","open","Apache httpd 1.3.41 (Unix) mod_perl/1.31"
"10.11.1.125","80","tcp","http","filtered",""
